Name of the drug	Lower Gestational age	Upper Gestational age	Lower Postnatal age	Upper Postnatal age	Condition	Min Dose	Max Dose	Unit	Dose/Days	Frequency	ROA	Infusion rate	solution compatability 	Lower Weight	Upper Weight
Nafcillin	45	100	0	500	Meningitis	50		mg/kg	Dose	Every 6 hourly	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Penicillin G	32	34	0	7	Anthrax: (as part of combination or triple therapy) duration 2 to 3weeks or more until stable	"1,00,000"		units	Dose	Every 12 Hourly	IV 	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	32	34	8	28	Anthrax: (as part of combination or triple therapy) duration 2 to 3weeks or more until stable	"1,00,000"		units	Dose	Every 8 Hourly	IV 	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	34	100	0	7	Anthrax: (as part of combination or triple therapy) duration 2 to 3weeks or more until stable	"1,00,000"		units	Dose	Every 8 Hourly	IV 	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	34	100	8	28	Anthrax: (as part of combination or triple therapy) duration 2 to 3weeks or more until stable	"1,00,000"		units	Dose	Every 6 Hourly	IV 	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G			0	7	Congenital Syphilis	"50,000"		units	Dose	Every 12 Hourly	IV 	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G			0	7	Group B Streptococcal Bacteremia Preterm and Full-term (Definitive Therapy) (Confirmed Early-and Late-Onset)	"50,000"		units	Dose	Every 12 Hourly for 10 days	IV 	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G			8	500	Group B Streptococcal Bacteremia Preterm and Full-term (Definitive Therapy) (Confirmed Early-and Late-Onset)	"50,000"		units	Dose	Every 8 Hourly for 10 days	IV 	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G			0	7	Group B Streptococcal Meningitis  preterm and full term (Definitive Therapy)(Confirmed Early-and Late-Onset)	"1,50,000"		units	Dose	Every 8 Hourly for14 days	IV 	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G			8	500	Group B Streptococcal Meningitis  preterm and full term (Definitive Therapy)(Confirmed Early-and Late-Onset)	"1,25,000"		units	Dose	Every 6 Hourly for 14 days	IV 	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	0	29	0	28	Other suceptible organisms: Bacteremia	"25,000"	"50,000"	units	Dose	Every 12 Hourly	IV or IM	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	0	29	29	500	Other suceptible organisms: Bacteremia	"25,000"	"50,000"	units	Dose	Every 8 Hourly	IV or IM	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	30	36	0	14	Other suceptible organisms: Bacteremia	"25,000"	"50,000"	units	Dose	Every 12 Hourly	IV or IM	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	30	36	15	500	Other suceptible organisms: Bacteremia	"25,000"	"50,000"	units	Dose	Every 8 Hourly	IV or IM	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	37	44	0	7	Other suceptible organisms: Bacteremia	"25,000"	"50,000"	units	Dose	Every 12 Hourly	IV or IM	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	37	44	8	500	Other suceptible organisms: Bacteremia	"25,000"	"50,000"	units	Dose	Every 8 Hourly	IV or IM	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	45	100	0	500	Other suceptible organisms: Bacteremia	"25,000"	"50,000"	units	Dose	Every 6 Hourly	IV or IM	Infuse over 15 min	"D5W, D10W, and NS."		
Penicillin G	0	29	0	28	Other suceptible organisms: Meningitis	"75,000"	"1,00,000"	units	Dose	Every 12 Hourly	IV or IM	Infuse over 30 min	"D5W, D10W, and NS."		
Penicillin G	0	29	29	500	Other suceptible organisms: Bacteremia	"75,000"	"1,00,000"	units	Dose	Every 8 Hourly	IV or IM	Infuse over 30 min	"D5W, D10W, and NS."		
Penicillin G	30	36	0	14	Other suceptible organisms: Bacteremia	"75,000"	"1,00,000"	units	Dose	Every 12 Hourly	IV or IM	Infuse over 30 min	"D5W, D10W, and NS."		
Penicillin G	30	36	15	500	Other suceptible organisms: Bacteremia	"75,000"	"1,00,000"	units	Dose	Every 8 Hourly	IV or IM	Infuse over 30 min	"D5W, D10W, and NS."		
Penicillin G	37	44	0	7	Other suceptible organisms: Bacteremia	"75,000"	"1,00,000"	units	Dose	Every 12 Hourly	IV or IM	Infuse over 30 min	"D5W, D10W, and NS."		
Penicillin G	37	44	8	500	Other suceptible organisms: Bacteremia	"75,000"	"1,00,000"	units	Dose	Every 8 Hourly	IV or IM	Infuse over 30 min	"D5W, D10W, and NS."		
Penicillin G	45	100	0	500	Other suceptible organisms: Bacteremia	"75,000"	"1,00,000"	units	Dose	Every 6 Hourly	IV or IM	Infuse over 30 min	"D5W, D10W, and NS."		
Piperacillin0	0	29	0	28		50	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"D5W, D10W, and NS"		
Piperacillin1	0	29	29	500		50	100	mg/kg	Dose	Every 8 hourly	IV	Infuse over 30 min	"D5W, D10W, and NS"		
Piperacillin2	30	36	0	14		50	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"D5W, D10W, and NS"		
Piperacillin3	30	36	15	500		50	100	mg/kg	Dose	Every 8 hourly	IV	Infuse over 30 min	"D5W, D10W, and NS"		
Piperacillin4	37	44	0	7		50	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"D5W, D10W, and NS"		
Piperacillin5	37	44	8	500		50	100	mg/kg	Dose	Every 8 hourly	IV	Infuse over 30 min	"D5W, D10W, and NS"		
Piperacillin6	45	100	0	500		50	100	mg/kg	Dose	Every 6 hourly	IV	Infuse over 30 min	"D5W, D10W, and NS"		
Quinupristin/Dalforpristin 						7.5		mg/kg	Dose	Every 12 hourly	IV	Infuse over 60 minutes	D5W 		
Ticarcillin/ Clavulanate	0	29	0	28		75	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"NS, D5W, or LR"		
Ticarcillin/ Clavulanate	0	29	29	500		75	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"NS, D5W, or LR"		
Ticarcillin/ Clavulanate	30	36	0	14		75	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"NS, D5W, or LR"		
Ticarcillin/ Clavulanate	30	36	15	500		75	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"NS, D5W, or LR"		
Ticarcillin/ Clavulanate	37	44	0	7		75	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"NS, D5W, or LR"		
Ticarcillin/ Clavulanate	37	44	8	500		75	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"NS, D5W, or LR"		
Ticarcillin/ Clavulanate	45	100	0	500		75	100	mg/kg	Dose	Every 12 hourly	IV	Infuse over 30 min	"NS, D5W, or LR"		
Imipenem/Cilastin	32	100	0	7	Anthrax: meningitis or disseminated infection and meningitis cannot be ruled out (as part of a triple therapy regimen) 	25		mg/kg	Dose	Every 12 hourly	IV	Infuse over 20 to 30 minutes	"D5W, D10W, and NS"		
Imipenem/Cilastin	32	100	8	28	Anthrax: meningitis or disseminated infection and meningitis cannot be ruled out (as part of a triple therapy regimen) 	25		mg/kg	Dose	Every 8 hourly	IV	Infuse over 20 to 30 minutes	"D5W, D10W, and NS"		
Imipenem/Cilastin	32	34	0	7	Anthrax; meningitis ruled out (as part of a combination regimen)	20		mg/kg	Dose	Every 12 hourly	IV	Infuse over 20 to 30 minutes	"D5W, D10W, and NS"		
Imipenem/Cilastin	32	34	8	28	Anthrax; meningitis ruled out (as part of a combination regimen)	25		mg/kg	Dose	Every 12 hourly	IV	Infuse over 20 to 30 minutes	"D5W, D10W, and NS"		
Imipenem/Cilastin	34	100	0	7	Anthrax; meningitis ruled out (as part of a combination regimen)	25		mg/kg	Dose	Every 12 hourly	IV	Infuse over 20 to 30 minutes	"D5W, D10W, and NS"		
Imipenem/Cilastin			8	28	Anthrax; meningitis ruled out (as part of a combination regimen)	25		mg/kg	Dose	Every 12 hourly	IV	Infuse over 20 to 30 minutes	"D5W, D10W, and NS"		
Tobramycin	0	29	0	7		5		mg/kg	dose	every 48 hours	IV	infuse over 20 to 60 minutes	"D5W, D10W, and NS."		
Tobramycin	0	29	8	28		4		mg/kg	dose	every 36 hours	IV	infuse over 20 to 60 minutes	"D5W, D10W, and NS."		
Tobramycin	0	29	29	500		4		mg/kg	dose	every 24 hours	IV	infuse over 20 to 60 minutes	"D5W, D10W, and NS."		
Tobramycin	30	34	0	7		4.5		mg/kg	dose 	every 36 hours	IV	infuse over 20 to 60 minutes	"D5W, D10W, and NS."		
Tobramycin	30	34	8	500		4		mg/kg	dose	every 24 hours	IV	infuse over 20 to 60 minutes	"D5W, D10W, and NS."		
Tobramycin	35	100	0	500		4		mg/kg	dose	every 24 hour	IV	infuse over 20 to 60 minutes	"D5W, D10W, and NS."		
Vancomycin	0	29	0	14		10	15	mg/kg	dose	every 18 hours.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	0	29	14	500		10	15	mg/kg	dose	every 12 hours	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	30	36	0	14		10	15	mg/kg	dose	every 12 hours	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	30	36	14	500		10	15	mg/kg	dose	every 8 hours	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	37	44	0	7		10	15	mg/kg	dose	every 12 hours	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	37	44	7	500		10	15	mg/kg	dose	every 8 hours	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	45	100	0	500		10	15	mg/kg	dose	every 6 hours	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin					Serious MRSA infections	10	20	mg/kg	dose	every 8 to 48 hours	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) less than 0.7 mg/dL	20		mg/kg	dose	loading dose . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) less than 0.7 mg/dL	15		mg/kg	dose	every 12 hours . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) 0.7 to 0.9 mg/dL	20		mg/kg	dose	loading dose . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) 0.7 to 0.9 mg/dL	20		mg/kg	dose	every 24 hours . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) 1 to 1.2 mg/dL	20		mg/kg	dose	loading dose . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) 1 to 1.2 mg/dL	15		mg/kg	dose	every 24 hours . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) 1.3 to 1.6 mg/dL	20		mg/kg	dose	loading dose . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) 1.3 to 1.6 mg/dL	10		mg/kg	dose	every 24 hours . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) greater than 1.6 mg/dL	20		mg/kg	dose	every 48 hours . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Vancomycin	32	100			Anthrax (as part of combination therapy) Serum creatinine (SCr) greater than 1.6 mg/dL	15		mg/kg	dose	every 48 hours . Duration: 2 to 3 weeks or more until stable.	IV	infuse over 60 to 120 min	"D5W, D10W, and NS"		
Cefazolin	0	29	0	28		25		mg/kg	dose	every 12 hours	IV / IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL.For IM injection, use a concentration of 225 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	0	29	29	500		25		mg/kg	dose	every 8 hours	IV / IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL.For IM injection, use a concentration of 225 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	30	36	0	14		25		mg/kg	dose 	every 12 hours	IV / IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL.For IM injection, use a concentration of 225 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	30	36	15	500		25		mg/kg	dose 	every 8 hours	IV / IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL.For IM injection, use a concentration of 225 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	37	44	0	7		25		mg/kg	dose 	every 12 hours	IV / IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL.For IM injection, use a concentration of 225 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	37	44	8	500		25		mg/kg	dose 	every 8 hours	IV / IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL.For IM injection, use a concentration of 225 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	45	100	0	500		25		mg/kg	dose 	every 6 hours	IV / IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL.For IM injection, use a concentration of 225 mg/mL."	"D5W, D10W, and NS."		
piperacillin/Tazobactam	0	29	0	28		100		mg/kg	dose	every 12 hours	IV	Infuse IV over at least 30 minutes	"NS, D5W, sterile water for injection, dextran 6% in saline, or LR "		
piperacillin/Tazobactam	0	29	29	500		100		mg/kg	dose	every 8 hours	IV	Infuse IV over at least 30 minutes	"NS, D5W, sterile water for injection, dextran 6% in saline, or LR "		
piperacillin/Tazobactam	30	36	0	14		100		mg/kg	dose	every 12 hours	IV	Infuse IV over at least 30 minutes	"NS, D5W, sterile water for injection, dextran 6% in saline, or LR "		
piperacillin/Tazobactam	30	36	15	500		100		mg/kg	dose	every 8 hours	IV	Infuse IV over at least 30 minutes	"NS, D5W, sterile water for injection, dextran 6% in saline, or LR "		
piperacillin/Tazobactam	37	44	0	7		100		mg/kg	dose	every 12 hours	IV	Infuse IV over at least 30 minutes	"NS, D5W, sterile water for injection, dextran 6% in saline, or LR "		
piperacillin/Tazobactam	37	44	8	500		100		mg/kg	dose	every 8 hours	IV	Infuse IV over at least 30 minutes	"NS, D5W, sterile water for injection, dextran 6% in saline, or LR "		
piperacillin/Tazobactam	45	100	0	500		100		mg/kg	dose	every 8 hours 	IV	Infuse IV over at least 30 minutes	"NS, D5W, sterile water for injection, dextran 6% in saline, or LR "		
